author,text,likes,time
@ferryirwandi,Lekas pulih Bumi Andalasku!,4 rb,2 bulan yang lalu (diedit)
@RahmatHidayat-r8d9h,Kejam banget para pemimpin 😢,1,3 minggu yang lalu
@komengkoclak7711,"Memang sejak kapan pemerintah peduli pada masyarakat bg? 
Saya merasa cuma jadi alat ekonomi untuk para elite. Jika jepang tidak jatuh tahun 1945, mungkin masyarakat kita akan hidup lebih baik di bawah pemerintahan penjajah yg cerdas.",1,3 minggu yang lalu
@Isnaratni,Karena dulu tdk memenangkan Prabowo jadi ndak jadi bencana nasional,1,4 minggu yang lalu
@robysatriapratama311,Bg Fery bantu saya la BG. Kasih pekerjaan bg. Untuk saya bangun rumah kembali dan kasih makan anak istri saya bg. Rumah saya hancur bg. Terkena musibah banjir bandang. Rumah saya di Provinsi Aceh. Kabupaten Aceh Tamiang. Desa Simpang Kanan.,1,4 minggu yang lalu (diedit)
@AdisaputraBatubara-y9x,Dek apakah president kita masi punya nurani dan otak?!,1,4 minggu yang lalu
@naverdiagetian6912,Bagaimana tanggapan abang tentang dampak negatif dan resiko tentang bencana nasional,2,1 bulan yang lalu
@batakcali8556,"MEDAN MERDEKA COMENT FROM USA,,UURRRAAA",1,1 bulan yang lalu
@putriofficialintanoffic4177,Banyak rakyat yang tidak suka juga ditetapkan bencana nasional untuk Sumatera,0,1 bulan yang lalu
@putriofficialintanoffic4177,"Semua bencana alam di Sumatera kesalahan pemerintah kota, pemerintah kabupaten dan pemerintah daerah yang memberikan izin penebangan hutan dengan tujuan apapun dan masyarakat yang mengetahui dan ikut membiarkan.",0,1 bulan yang lalu
@VirgieZch-so6pv,paling pas ya bencana PEMERINTAHLAH YANG PUNYA ULAH PEMERINTAH.....111,0,1 bulan yang lalu
@Jivananta-e7y,Prabowo dari dulu jg punya lahan sawit d Sumatra ratusan ribu hektar. Makanya prbwo GK berani komen. Tersangkanya jg dia juga,0,1 bulan yang lalu
@RomeoRomeo-r2h,Lahir di Jambi asal payuhkumbuah,0,1 bulan yang lalu
@GlobalHistory-z7j,👍👍👍,0,1 bulan yang lalu
@tolesatrio5705,PROVOKATOR SESUNGGUHNYA,0,1 bulan yang lalu
@campursari-f1b,"Menurut aku ya,..Kok lebih pinter bg feri Irwandi dibandingkan Mentri Mentri pemerintah 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",0,1 bulan yang lalu
@Santo-me74n,"Biar pintar baca ini : Bencana nasional di Indonesia diatur utamanya oleh Undang-Undang Nomor 24 Tahun 2007 tentang Penanggulangan Bencana (UU PB), yang menjadi landasan hukum bagi penetapan status,",0,1 bulan yang lalu
@HazenCN,"Seseorang pernah berkata ""jangan takut deforestasi"" Dan lihatlah sekarang🥲🥀",1,1 bulan yang lalu
@zulydia6126,hidup BOWO hidup BAHLIL hidup. DPR ROMPI anti peluru😂😂😂mereka bertiga adalah 3ekor🐷🐷🐷,0,1 bulan yang lalu
@zulydia6126,hidup BOWO hidup BAHLIL hidup. DPR ROMPI anti peluru😂😂😂mereka bertiga adalah 3ekor🐷🐷🐷,0,1 bulan yang lalu
@fitrinurasiah2084,"Penetapan status menjadi Bencana Nasional tentu saja hal yang sangat kita harapkan. Tapi bang, rasanya kemarahanku masih kuat atas narasi-narasi mengenai keadaan alam Indonesia yang semakin habis akibat tangan - tangan peraup keuntungan atau yang terkait lah, katakanlah oknum yang banyak itu. Setelah hal ini terjadi, apa yang bisa mereka pertanggungjawabkan atas sikap dan narasinya? Apakah cukup dengan menghilang dari media sosial? Adakah rasa bersalah dan rasa malu? Bagaimana mungkin bisa sebegitunya tidak merasa bersalah atas inkompetensi mereka? Bagaimana sebenarnya proses pengembanan kekuasaan bisa berjalan jika tanpa dasar kompetensi?",74,2 bulan yang lalu
@katoelook,​ @fitrinurasiah2084 semenjak mulyono habis wakanda dengan tikus2 rakus,4,2 bulan yang lalu
