author,text,likes,time,text_clean,sentiment
@ferryirwandi,Lekas pulih Bumi Andalasku!,4 rb,2 bulan yang lalu (diedit),lekas pulih bumi andalasku,Positive
@RahmatHidayat-r8d9h,Kejam banget para pemimpin 😢,1,3 minggu yang lalu,kejam banget para pemimpin,Negative
@komengkoclak7711,"Memang sejak kapan pemerintah peduli pada masyarakat bg? 
Saya merasa cuma jadi alat ekonomi untuk para elite. Jika jepang tidak jatuh tahun 1945, mungkin masyarakat kita akan hidup lebih baik di bawah pemerintahan penjajah yg cerdas.",1,3 minggu yang lalu,"memang sejak kapan pemerintah peduli pada masyarakat bg  
saya merasa cuma jadi alat ekonomi untuk para elite  jika jepang tidak jatuh tahun       mungkin masyarakat kita akan hidup lebih baik di bawah pemerintahan penjajah yg cerdas",Negative
@Isnaratni,Karena dulu tdk memenangkan Prabowo jadi ndak jadi bencana nasional,1,4 minggu yang lalu,karena dulu tdk memenangkan prabowo jadi ndak jadi bencana nasional,Neutral
@robysatriapratama311,Bg Fery bantu saya la BG. Kasih pekerjaan bg. Untuk saya bangun rumah kembali dan kasih makan anak istri saya bg. Rumah saya hancur bg. Terkena musibah banjir bandang. Rumah saya di Provinsi Aceh. Kabupaten Aceh Tamiang. Desa Simpang Kanan.,1,4 minggu yang lalu (diedit),bg fery bantu saya la bg  kasih pekerjaan bg  untuk saya bangun rumah kembali dan kasih makan anak istri saya bg  rumah saya hancur bg  terkena musibah banjir bandang  rumah saya di provinsi aceh  kabupaten aceh tamiang  desa simpang kanan,Positive
@AdisaputraBatubara-y9x,Dek apakah president kita masi punya nurani dan otak?!,1,4 minggu yang lalu,dek apakah president kita masi punya nurani dan otak,Neutral
@naverdiagetian6912,Bagaimana tanggapan abang tentang dampak negatif dan resiko tentang bencana nasional,2,1 bulan yang lalu,bagaimana tanggapan abang tentang dampak negatif dan resiko tentang bencana nasional,Neutral
@batakcali8556,"MEDAN MERDEKA COMENT FROM USA,,UURRRAAA",1,1 bulan yang lalu,medan merdeka coment from usa  uurrraaa,Neutral
@putriofficialintanoffic4177,Banyak rakyat yang tidak suka juga ditetapkan bencana nasional untuk Sumatera,0,1 bulan yang lalu,banyak rakyat yang tidak suka juga ditetapkan bencana nasional untuk sumatera,Negative
@putriofficialintanoffic4177,"Semua bencana alam di Sumatera kesalahan pemerintah kota, pemerintah kabupaten dan pemerintah daerah yang memberikan izin penebangan hutan dengan tujuan apapun dan masyarakat yang mengetahui dan ikut membiarkan.",0,1 bulan yang lalu,semua bencana alam di sumatera kesalahan pemerintah kota  pemerintah kabupaten dan pemerintah daerah yang memberikan izin penebangan hutan dengan tujuan apapun dan masyarakat yang mengetahui dan ikut membiarkan,Neutral
@VirgieZch-so6pv,paling pas ya bencana PEMERINTAHLAH YANG PUNYA ULAH PEMERINTAH.....111,0,1 bulan yang lalu,paling pas ya bencana pemerintahlah yang punya ulah pemerintah,Neutral
@Jivananta-e7y,Prabowo dari dulu jg punya lahan sawit d Sumatra ratusan ribu hektar. Makanya prbwo GK berani komen. Tersangkanya jg dia juga,0,1 bulan yang lalu,prabowo dari dulu jg punya lahan sawit d sumatra ratusan ribu hektar  makanya prbwo gk berani komen  tersangkanya jg dia juga,Neutral
@RomeoRomeo-r2h,Lahir di Jambi asal payuhkumbuah,0,1 bulan yang lalu,lahir di jambi asal payuhkumbuah,Neutral
@GlobalHistory-z7j,👍👍👍,0,1 bulan yang lalu,,Neutral
@tolesatrio5705,PROVOKATOR SESUNGGUHNYA,0,1 bulan yang lalu,provokator sesungguhnya,Neutral
@campursari-f1b,"Menurut aku ya,..Kok lebih pinter bg feri Irwandi dibandingkan Mentri Mentri pemerintah 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",0,1 bulan yang lalu,menurut aku ya   kok lebih pinter bg feri irwandi dibandingkan mentri mentri pemerintah,Neutral
@Santo-me74n,"Biar pintar baca ini : Bencana nasional di Indonesia diatur utamanya oleh Undang-Undang Nomor 24 Tahun 2007 tentang Penanggulangan Bencana (UU PB), yang menjadi landasan hukum bagi penetapan status,",0,1 bulan yang lalu,biar pintar baca ini   bencana nasional di indonesia diatur utamanya oleh undang undang nomor    tahun      tentang penanggulangan bencana  uu pb   yang menjadi landasan hukum bagi penetapan status,Positive
@HazenCN,"Seseorang pernah berkata ""jangan takut deforestasi"" Dan lihatlah sekarang🥲🥀",1,1 bulan yang lalu,seseorang pernah berkata  jangan takut deforestasi  dan lihatlah sekarang,Neutral
@zulydia6126,hidup BOWO hidup BAHLIL hidup. DPR ROMPI anti peluru😂😂😂mereka bertiga adalah 3ekor🐷🐷🐷,0,1 bulan yang lalu,hidup bowo hidup bahlil hidup  dpr rompi anti peluru   mereka bertiga adalah  ekor,Neutral
@zulydia6126,hidup BOWO hidup BAHLIL hidup. DPR ROMPI anti peluru😂😂😂mereka bertiga adalah 3ekor🐷🐷🐷,0,1 bulan yang lalu,hidup bowo hidup bahlil hidup  dpr rompi anti peluru   mereka bertiga adalah  ekor,Neutral
